Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
4-laning of Muzaffarnagar-Saharanpur Road (SH-59) from Km.0.000 to Km.52.950 on DBFOT toll basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,752.88,29-May-2015
Development of modern food silo for storage of wheat on DBFOT at Katihar (Bihar) - Proposed by FPD,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Bihar,Food Corporation of India,Under Construction,44.62,10-Jun-2016
Development of modern food silo for storage of wheat on DBFOT at Kotkapura (Punjab) - Proposed by FPD,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticulture produce including cold storage,Punjab,Food Corporation of India,Operation and Maintenance Stage,35.62,10-Jun-2016
Four laning with paved shoulder in Bareilly-Almora section of SH 37 in the State of Uttar Pradesh on DBFOT basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,604.55,01-Aug-2011
Four-laning of Varanasi-Shaktinagar road of SH-5A in UP under DBFOT basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,Uttar Pradesh State Highways Authority,Operation and Maintenance Stage,"1,757.39",08-Dec-2011
2nd Container Terminal (NSICT) JNPT,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,750.00,03-Jul-1997
3rd Container Terminal (GTIPL) JNPT,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,"1,078.00",10-Aug-2004
4th Container Terminal (Jawaharlal Nehru Port),Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,"7,915.00",06-May-2014
Development of metro link from Delhi Metro Sikanderpur to NH 8 Gurgaon,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Haryana,Haryana Urban Development Authority,Operation and Maintenance Stage,"1,088.00",16-Jul-2009
Development of standalone container handling facility with a quay length of 330 m to the North   at JNPT.,Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Maharashtra,Jawaharlal Nehru Port Trust,Operation and Maintenance Stage,600.00,19-Jun-2013
Gurgaon  Metro  South  Extension (RMGSL) project,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Haryana,Haryana Urban Development Authority,Operation and Maintenance Stage,"2,150.00",03-Jan-2013
